epoch,train_loss,val_loss,train_dice,val_dice,seconds
1,1.3052132720261618,1.0829327170566847,0.03376455620379192,0.06544500059338067,32.455466833896935
2,0.9830709611668306,0.9241064056273429,0.08754034140402044,0.10140062427032775,29.982645209063776
3,0.8819835679983002,0.8716135230115665,0.10950295154218831,0.08834700092384547,30.03777649998665
4,0.8254374006994409,0.8174077195505942,0.23770513138634308,0.27699391279964763,30.20188829198014
5,0.5822138705284767,0.43888722408202385,0.6045419980304069,0.6974187761136185,31.210526334005408
6,0.34083174576167186,0.36648604177659555,0.7483560028212962,0.7500421032744589,31.64363241707906
7,0.2889800225208008,0.35284434659506686,0.7838461556004276,0.753672355123729,31.261080458993092
8,0.24492007388788112,0.26041197808839944,0.8177677935127815,0.8197314905091867,30.0679784999229
9,0.21482158143535937,0.23035263085878024,0.8371370236151696,0.8420161856979346,30.089705957914703
10,0.21499670389430975,0.2152759726009061,0.8376501078323578,0.8507010370464858,30.07172854093369
11,0.18905721914534476,0.20339613111429317,0.857288799704274,0.8591622246670196,31.207396582933143
12,0.17728754192395926,0.1924877554498693,0.8660261363281304,0.8661545156878976,30.322292958036996
13,0.1721694720142028,0.18512669237711096,0.8702945892913757,0.8720932063751982,30.62423629197292
14,0.16440477270900813,0.17456892405145913,0.8747135295108225,0.8748460587988859,31.500114333000965
15,0.15794206296696384,0.1870029660001878,0.8794014350692502,0.8707065062944856,30.014152374933474
16,0.1561546347499673,0.1723510871330897,0.8822768375265845,0.8806893441263607,31.743353207944892
17,0.15313668962008034,0.19566886735859737,0.8844981342248573,0.8651059522287339,30.057162583922036
18,0.1497530773184658,0.18613330939764616,0.8862292904997568,0.8710492937986297,30.8905623749597
19,0.13907237777522966,0.1985802860349737,0.8938207135780227,0.8610007072621716,30.18292683304753
20,0.15007638307957868,0.17776744468237765,0.8858392501871388,0.8750859998481375,29.993155666976236
21,0.13857378429836698,0.172651310281087,0.8932714833551154,0.8783114365935418,30.101360165979713
22,0.1410102144662851,0.18060435963574276,0.8922941793721062,0.876741738898446,29.92992708401289
23,0.13875957451809465,0.17767104538538123,0.893526634383166,0.8748562988952012,30.04386929201428
24,0.12997153436436373,0.16442723908732015,0.8995810389002278,0.8852668085951265,30.026451999903657
25,0.13499751465967277,0.16212962888261323,0.8969135214295108,0.8854506908832241,30.026436500018463
26,0.13472359451203564,0.17644062958737855,0.8980138744859509,0.8759714121228571,30.299991708947346
27,0.13064614386340373,0.15039729639407126,0.8995294154747188,0.8948723761157397,30.036678459029645
28,0.1211320664952783,0.16000243588801352,0.9066456810598452,0.8861742528932135,29.443261999986134
29,0.1310095544636639,0.1665104877564215,0.900222991912154,0.8840523739609308,29.872940375003964
30,0.12173159878238354,0.15239533253254428,0.9059286178202282,0.8913469232837924,30.093442292069085
